,block,trial,audio,S1,S2,S3,repetition_found
14,2,34,"['limeber.wav', 'chelad.wav', 'dingep.wav', 'sumbark.wav', 'goorshell.wav', 'barget.wav']",Picture7.png,Picture8.png,Picture3.png,0
15,2,35,"['nellby.wav', 'chelad.wav', 'rakken.wav', 'sumbark.wav', 'goorshell.wav', 'barget.wav']",Picture1.png,Picture6.png,Picture3.png,0
16,2,35,"['nellby.wav', 'chelad.wav', 'rakken.wav', 'sumbark.wav', 'goorshell.wav', 'barget.wav']",Picture1.png,Picture6.png,Picture3.png,1
17,2,36,"['rakken.wav', 'chelad.wav', 'limeber.wav', 'sumbark.wav', 'haagle.wav', 'barget.wav']",Picture6.png,Picture7.png,Picture4.png,0
18,2,37,"['pakrid.wav', 'chelad.wav', 'haagle.wav', 'sumbark.wav', 'jeelow.wav', 'barget.wav']",Picture5.png,Picture4.png,Picture2.png,0
19,2,38,"['fisslin.wav', 'chelad.wav', 'pakrid.wav', 'sumbark.wav', 'goorshell.wav', 'barget.wav']",Picture10.png,Picture5.png,Picture3.png,0
20,2,39,"['rakken.wav', 'chelad.wav', 'jeelow.wav', 'sumbark.wav', 'goorshell.wav', 'barget.wav']",Picture6.png,Picture2.png,Picture3.png,0
21,2,39,"['rakken.wav', 'chelad.wav', 'jeelow.wav', 'sumbark.wav', 'goorshell.wav', 'barget.wav']",Picture6.png,Picture2.png,Picture3.png,1
22,2,40,"['goorshell.wav', 'chelad.wav', 'bimdah.wav', 'sumbark.wav', 'fisslin.wav', 'barget.wav']",Picture3.png,Picture9.png,Picture10.png,0
0,3,41,"['nellby.wav', 'chelad.wav', 'jeelow.wav', 'sumbark.wav', 'bimdah.wav', 'barget.wav']",Picture1.png,Picture2.png,Picture9.png,0
1,3,42,"['haagle.wav', 'chelad.wav', 'pakrid.wav', 'sumbark.wav', 'dingep.wav', 'barget.wav']",Picture4.png,Picture5.png,Picture8.png,0
2,3,42,"['haagle.wav', 'chelad.wav', 'pakrid.wav', 'sumbark.wav', 'dingep.wav', 'barget.wav']",Picture4.png,Picture5.png,Picture8.png,1
3,3,43,"['rakken.wav', 'chelad.wav', 'dingep.wav', 'sumbark.wav', 'nellby.wav', 'barget.wav']",Picture6.png,Picture8.png,Picture1.png,0
4,3,44,"['pakrid.wav', 'chelad.wav', 'limeber.wav', 'sumbark.wav', 'dingep.wav', 'barget.wav']",Picture5.png,Picture7.png,Picture8.png,0
5,3,45,"['bimdah.wav', 'chelad.wav', 'dingep.wav', 'sumbark.wav', 'pakrid.wav', 'barget.wav']",Picture9.png,Picture8.png,Picture5.png,0
6,3,46,"['goorshell.wav', 'chelad.wav', 'jeelow.wav', 'sumbark.wav', 'fisslin.wav', 'barget.wav']",Picture3.png,Picture2.png,Picture10.png,0
7,3,47,"['nellby.wav', 'chelad.wav', 'fisslin.wav', 'sumbark.wav', 'dingep.wav', 'barget.wav']",Picture1.png,Picture10.png,Picture8.png,0
8,3,48,"['pakrid.wav', 'chelad.wav', 'goorshell.wav', 'sumbark.wav', 'rakken.wav', 'barget.wav']",Picture5.png,Picture3.png,Picture6.png,0
9,3,49,"['haagle.wav', 'chelad.wav', 'bimdah.wav', 'sumbark.wav', 'nellby.wav', 'barget.wav']",Picture4.png,Picture9.png,Picture1.png,0
10,3,50,"['jeelow.wav', 'chelad.wav', 'nellby.wav', 'sumbark.wav', 'rakken.wav', 'barget.wav']",Picture2.png,Picture1.png,Picture6.png,0
11,3,50,"['jeelow.wav', 'chelad.wav', 'nellby.wav', 'sumbark.wav', 'rakken.wav', 'barget.wav']",Picture2.png,Picture1.png,Picture6.png,1
12,3,51,"['limeber.wav', 'chelad.wav', 'bimdah.wav', 'sumbark.wav', 'fisslin.wav', 'barget.wav']",Picture7.png,Picture9.png,Picture10.png,0
13,3,52,"['limeber.wav', 'chelad.wav', 'nellby.wav', 'sumbark.wav', 'goorshell.wav', 'barget.wav']",Picture7.png,Picture1.png,Picture3.png,0
14,3,53,"['jeelow.wav', 'chelad.wav', 'dingep.wav', 'sumbark.wav', 'goorshell.wav', 'barget.wav']",Picture2.png,Picture8.png,Picture3.png,0
15,3,54,"['bimdah.wav', 'chelad.wav', 'limeber.wav', 'sumbark.wav', 'haagle.wav', 'barget.wav']",Picture9.png,Picture7.png,Picture4.png,0
16,3,55,"['jeelow.wav', 'chelad.wav', 'fisslin.wav', 'sumbark.wav', 'pakrid.wav', 'barget.wav']",Picture2.png,Picture10.png,Picture5.png,0
17,3,56,"['pakrid.wav', 'chelad.wav', 'fisslin.wav', 'sumbark.wav', 'nellby.wav', 'barget.wav']",Picture5.png,Picture10.png,Picture1.png,0
18,3,57,"['bimdah.wav', 'chelad.wav', 'jeelow.wav', 'sumbark.wav', 'nellby.wav', 'barget.wav']",Picture9.png,Picture2.png,Picture1.png,0
19,3,58,"['pakrid.wav', 'chelad.wav', 'dingep.wav', 'sumbark.wav', 'limeber.wav', 'barget.wav']",Picture5.png,Picture8.png,Picture7.png,0
20,3,58,"['pakrid.wav', 'chelad.wav', 'dingep.wav', 'sumbark.wav', 'limeber.wav', 'barget.wav']",Picture5.png,Picture8.png,Picture7.png,1
21,3,59,"['pakrid.wav', 'chelad.wav', 'fisslin.wav', 'sumbark.wav', 'dingep.wav', 'barget.wav']",Picture5.png,Picture10.png,Picture8.png,0
22,3,60,"['rakken.wav', 'chelad.wav', 'goorshell.wav', 'sumbark.wav', 'nellby.wav', 'barget.wav']",Picture6.png,Picture3.png,Picture1.png,0
0,4,61,"['goorshell.wav', 'chelad.wav', 'bimdah.wav', 'sumbark.wav', 'pakrid.wav', 'barget.wav']",Picture3.png,Picture9.png,Picture5.png,0
1,4,62,"['rakken.wav', 'chelad.wav', 'nellby.wav', 'sumbark.wav', 'pakrid.wav', 'barget.wav']",Picture6.png,Picture1.png,Picture5.png,0
